©	저작권
®	등록상표
‼	두 개의 느낌표
⁄	분수 슬래시
⁉	느낌표와 물음표
⁻	위 첨자 마이너스
₡	코스타리카 콜론
₢	크루제이루
₣	프랑스 프랑
₤	리라
₥	밀
₦	나이지리아 나이라
₧	스페인 페세타
₨	루피
₪	이스라엘 신 셰켈
₫	베트남 동
€	유로
₭	라오스 키프
₮	몽골 투그릭
₰	독일 페니
₱	페소
₲	파라과이 과라니
₳	오스트랄
₴	우크라이나 그리브나
₵	가나 세디
₶	리브르 투아누아
₷	스페스밀로
₸	카자흐스탄 텡게
₹	인도 루피
₺	튀르키예 리라
₼	아제르바이잔 마나트
₽	러시아 루블
₾	조지아 라리
₿	비트코인
℗	음원 복제권
™	상표
ℹ	정보 출처
←	왼쪽 화살표
↑	위 화살표
→	오른쪽 화살표
↓	아래 화살표
↔	좌우향 화살표
↕	상하향 화살표
↖	좌상향 화살표
↗	우상향 화살표
↘	우하향 화살표
↙	좌하향 화살표
↚	사선이 있는 왼쪽 화살표
↛	사선이 있는 오른쪽 화살표
↜	물결 모양 왼쪽 화살표
↝	물결 모양 오른쪽 화살표
↞	왼쪽 쌍두 화살표
↟	위쪽 쌍두 화살표
↠	오른쪽 쌍두 화살표
↡	아래쪽 쌍두 화살표
↢	왼쪽 화살표 꼬리
↣	오른쪽 화살표 꼬리
↤	세로 막대가 있는 왼쪽 화살표
↥	가로선이 있는 위쪽 화살표
↦	세로 막대가 있는 오른쪽 화살표
↧	가로선이 있는 아래쪽 화살표
↨	밑면이 있는 위쪽 아래쪽 화살표
↩	왼쪽으로 꺾어지는 우향 화살표
↪	오른쪽으로 꺾어지는 좌향 화살표
↫	왼쪽 화살표 루프
↬	오른쪽 화살표 루프
↭	물결 모양 왼쪽 오른쪽 화살표
↮	사선이 있는 왼쪽 오른쪽 화살표
↯	아래쪽 지그재그 화살표
↰	끝이 왼쪽을 향한 위쪽 화살표
↱	끝이 오른쪽을 향한 위쪽 화살표
↲	끝이 왼쪽을 향한 아래쪽 화살표
↳	끝이 오른쪽을 향한 아래쪽 화살표
↴	모서리가 아래쪽으로 향하는 오른쪽 화살표
↵	모서리가 왼쪽으로 향하는 아래쪽 화살표
↶	위쪽 반원 화살표 반시계방향
↷	위쪽 반원 화살표 시계 방향
↸	긴 가로선이 있는 북서쪽 화살표
↹	세로 막대가 있는 오른쪽 화살표 위에 세로 막대가 있는 왼쪽 화살표
↺	열린 원형 화살표 반시계방향
↻	열린 원형 화살표 시계 방향
↼	위쪽에 화살촉이 있는 왼쪽 외날 화살표
↽	아래쪽에 화살촉이 있는 왼쪽 외날 화살표
↾	오른쪽에 화살촉이 있는 위쪽 외날 화살표
↿	왼쪽에 화살촉이 있는 위쪽 외날 화살표
⇀	위쪽에 화살촉이 있는 오른쪽 외날 화살표
⇁	아래쪽에 화살촉이 있는 오른쪽 외날 화살표
⇂	오른쪽에 화살촉이 있는 아래쪽 외날 화살표
⇃	왼쪽에 화살촉이 있는 아래쪽 외날 화살표
⇄	왼쪽 화살표 위에 오른쪽 화살표
⇅	위아래 화살표
⇆	좌우 화살표
⇇	왼쪽 화살표 쌍
