&	e comercial
#	cerquilha
@	arroba
§	parágrafo
™	marca comercial
®	marca registrada
©	direitos autorais
_	sublinhado
%	por cento
*	asterisco
+	mais
/	barra
=	igual
^	acento circunflexo
|	barra vertical
~	til
$	dólar
£	libra esterlina
€	euro
₩	won
¥	ienes
°	grau
º	ordinal masculino
‼	dupla exclamação
⁄	barra de fração
⁉	exclamação com interrogação
⁻	menos sobrescrito
₡	colón costarriquenho
₢	cruzeiro
₣	franco francês
₤	lira
₦	naira nigeriana
₧	peseta espanhola
₨	rupia
₪	novo shekel israelense
₫	dong vietnamita
₭	kip laosiano
₮	tugrik mongol
₰	centavo alemão
₱	peso
₲	guarani paraguaio
₳	austral
₴	hryvnia ucraniana
₵	cedi ganês
₶	livre tournois
₷	spesmilo
₸	tenge cazaque
₹	rupia indiana
₺	lira turca
₼	manat azeri
₽	rublo
₾	lari georgiano
₿	bitcoin
℗	símbolo de direitos autorais de fonograma
ℹ	informações
←	seta apontando para a esquerda
↑	seta apontando para cima
→	seta apontando para a direita
↓	seta apontando para baixo
↔	seta para esquerda e direita
↕	seta para cima e para baixo
↖	seta para cima e para a esquerda
↗	seta para cima e para a direita
↘	seta para baixo e para a direita
↙	seta para baixo e para a esquerda
↚	traçado de seta para a esquerda
↛	traçado de seta para a direita
↜	seta ondulada para a esquerda
↝	seta ondulada para a direita
↞	seta de duas pontas para a esquerda
↟	seta de duas pontas para cima
↠	seta de duas pontas para a direita
↡	seta de duas pontas para baixo
↢	flecha com cauda para a esquerda
↣	flecha com cauda para a direita
↤	flecha com barra para a esquerda
↥	flecha com barra para cima
↦	flecha com barra para a direita
↧	flecha com barra para baixo
↨	seta para cima e para baixo com base
↩	seta curva da direita para a esquerda
↪	seta curva da esquerda para a direita
↫	seta para a esquerda com laço
↬	seta para a direita com laço
↭	seta ondulada bidirecional
↮	traçado de seta para direita e esquerda
↯	seta em zigue-zague para baixo
↰	seta para cima com ponta para esquerda
↱	seta para cima com ponta para direita
↲	seta para baixo com ponta para esquerda
↳	seta para baixo com ponta para direita
↴	seta para direita com ponta para baixo
↵	seta para baixo com curva para esquerda
↶	seta de semicírculo superior no sentido anti-horário
↷	seta de semicírculo superior no sentido horário
↸	seta noroeste sob barra longa
↹	seta para a esquerda da barra sobre seta para a direita da barra
↺	seta de círculo aberto no sentido anti-horário
↻	seta de círculo aberto no sentido horário
↼	arpão para a esquerda com farpa para cima
↽	arpão para a esquerda com farpa para baixo
↾	arpão para cima com farpa para a direita
↿	arpão para cima com farpa para a esquerda
⇀	arpão para a direita com farpa para cima
⇁	arpão para a direita com farpa para baixo
⇂	arpão para baixo com farpa para a direita
⇃	arpão para baixo com farpa para a esquerda
⇄	seta para a direita sobre seta para a esquerda
⇅	setas apontando para cima e para baixo
⇆	setas apontando para a esquerda e para a direita
⇇	setas paralelas para a esquerda
⇈	setas paralelas para cima
⇉	setas paralelas para a direita
⇊	setas paralelas para baixo
⇋	arpão para a esquerda sobre arpão para a direita
⇌	arpão para a direita sobre arpão para a esquerda
⇍	seta dupla para a esquerda com traço
⇎	seta dupla bidirecional com traço
⇏	seta dupla para a direita com traço
⇐	seta dupla para a esquerda
⇑	seta dupla para cima
⇒	seta dupla para a direita
⇓	seta dupla para baixo
⇔	seta dupla bidirecional
⇖	seta dupla para noroeste
⇗	seta dupla para nordeste
⇘	seta dupla para sudeste
⇙	seta dupla para sudoeste
⇚	seta tripla para a esquerda
⇛	seta tripla para a direita
⇜	seta de rabisco para a esquerda
⇝	seta de rabisco para a direita
⇞	seta para cima com traço duplo
⇟	seta para baixo com traço duplo
⇠	seta tracejada para a esquerda
⇡	seta tracejada para cima
⇢	seta tracejada para a direita
⇣	seta tracejada para baixo
⇤	seta para a esquerda da barra
⇥	seta para a direita da barra
⇦	seta branca para a esquerda
⇧	seta branca para cima
⇨	seta branca para a direita
⇩	seta branca para baixo
⇪	seta branca para cima da barra
⇵	seta para baixo à esquerda da seta para cima
∀	para todos
∂	diferencial parcial
∃	existe
∅	conjunto vazio
∆	delta
∇	nabla
∈	elemento de
∉	não pertence
∋	contém como membro
∎	fim da prova
∏	produto n-ário
∑	somatório
−	sinal de menos
∓	menos ou mais
∕	barra de divisão
∗	operador de asterisco
∘	operador de anel
∙	operador de marca de lista
√	raiz quadrada
∝	proporcional a
∞	sinal de infinito
∟	ângulo direito
∠	ângulo
∣	divide
∥	paralelo
∧	e lógico
∩	interseção
∪	união
∫	integral
∬	integral duplo
∮	integral de contorno
∴	então
∵	porque
∶	razão
∷	proporção
∼	operador de til
∽	til invertido
∾	s preguiçoso invertido
≃	assintoticamente igual
≅	aproximadamente igual
≈	quase igual
≌	tudo igual
≒	aproximadamente igual à imagem
≖	anel em igual
≠	desigual
≡	igual a
≣	estritamente equivalente
≤	menor que ou igual a
≥	maior que ou igual
≦	menor que sobre igual
≧	maior que sobre igual
≪	muito menor que
≫	muito maior que
≬	entre
≮	não menor que
≯	não maior que
≳	maior que ou equivalente
≺	precede
≻	sucede
⊁	não sucede
⊂	subconjunto de
⊃	superconjunto
⊆	subconjunto de ou igual
⊇	superconjunto de ou igual
⊕	mais em círculo
⊖	menos em círculo
⊗	vezes em círculo
⊘	barra de divisão em círculo
⊙	operador de ponto em círculo
⊚	operador de anel em círculo
⊛	operador de asterisco em círculo
⊞	mais em quadrado
⊟	menos em quadrado
⊥	contradição arbitrária
⊮	não força
⊰	precede em relação
⊱	sucede em relação
⊶	original
⊹	matriz conjugada hermitiana
⊿	triângulo retângulo direito
⋁	ou lógico n-ário
⋂	interseção n-ária
⋃	união n-ária
⋅	operador de ponto
⋆	operador de estrela
⋈	junção natural
⋒	interseção dupla
⋘	muitíssimo menor que
⋙	muitíssimo maior que
⋭	não contém como subgrupo normal ou igual
⋮	reticências verticais
⋯	reticências horizontais a meio da linha
⋰	reticências diagonais direitas para cima
⋱	reticências diagonais direitas para baixo
⌚	relógio de pulso
⌛	ampulheta
⌨	teclado
⏏	botão ejetar
⏩	botão avançar
⏪	botão de retroceder
⏫	botão de avanço para cima
⏬	botão de avanço para baixo
⏭	botão de próxima faixa
⏮	botão de faixa anterior
⏯	botão de reproduzir ou pausar
⏰	despertador
⏱	cronômetro
⏲	relógio temporizador
⏳	ampulheta cheia em cima
⏸	botão pausar
⏹	botão parar
⏺	botão gravar
Ⓜ	círculo com a letra M
■	quadrado preenchido
□	quadrado vazio
▢	quadrado vazio com cantos arredondados
