©	कॉपीराइट
®	पंजीकृत चिह्न
‼	दोहरा विस्मयादिबोधक चिह्न
⁄	भिन्न स्लैश
⁉	विस्मयादिबोधक प्रश्न चिह्न
⁻	माइनस
₡	कोस्टा रिका कोलोन
₢	क्रुज़ेइरो
₣	फ्रांसीसी फ्रैंक
₤	लीरा
₥	मिल
₦	नाइरा
₨	रुपया
₪	इज़राइली न्यू शेकेल
₫	वियतनामी डोंग
€	यूरो
₭	लाओशियन किप
₮	मंगोलियाई टगरिक
₰	जर्मन पैसा
₱	पेसो
₲	पैराग्वियन गुआरानी
₳	एस्ट्रल
₴	यूक्रेनियन रिव्निया
₵	घानियन सेडी
₶	लिवर टूरनॉइस
₷	स्पेसमिलो
₸	कज़ाखिस्तानी टेंज़
₹	रुपया
₺	लीरा
₼	अज़रबैजानी मैनेट
₽	रूबल
₾	जॉर्जियन लारी
₿	बिटकॉइन
℗	साउंड रिकॉर्डिंग कॉपीराइट
™	ट्रेड मार्क चिह्न
ℹ	अक्षर आई, सूचना
←	बाईं ओर इशारा करता तीर
↑	ऊपर की ओर इशारा करता तीर
→	दाईं ओर इशारा करता तीर
↓	नीचे की ओर इशारा करता तीर
↔	बाएं-दाएं तीर
↕	ऊपर-नीचे तीर
↖	ऊपर-बायां तीर, इंटरकार्डिनल, उत्तर पश्चिम दिशा
↗	ऊपर-दायां तीर, इंटरकार्डिनल, उत्तरपूर्व दिशा
↘	नीचे-दायां तीर, इंटरकार्डिनल, दक्षिणपूर्व दिशा
↙	नीचे-बायां तीर, इंटरकार्डिनल, दक्षिणपश्चिम दिशा
↚	बाईं ओर वाला तीर स्ट्रोक
↛	दाईं ओर वाला तीर स्ट्रोक
↜	बाईं ओर वाला लहरील तीर
↝	दाईं ओर वाला लहरील तीर
↞	बायाँ दो शीर्ष तीर
↟	ऊपर की ओर दो शीर्ष वाला तीर
↠	दाईं ओर दो शीर्ष वाला तीर
↡	नीचे की ओर दो शीर्ष वाला तीर
↢	बायाँ तीर टेल
↣	दायाँ तीर टेल
↤	बार से बाईं ओर तीर
↥	बार से ऊपर की ओर तीर
↦	बार से दायाँ तीर
↧	बार से नीचे की ओर तीर
↨	आधार वाला ऊपर नीचे तीर
↩	बाईं ओर मुड़ने वाला दायां तीर
↪	दाईं ओर मुड़ने वाला बायां तीर
↫	बाईं ओर तीर लूप
↬	दाईं ओर तीर लूप
↭	बायाँ दायाँ लहरदार तीर
↮	बायां दाया तीर स्ट्रोक
↯	नीचे की ओर घुमावदार तीर
↰	ऊपर की ओर तीर की नोक बाईं ओर
↱	ऊपर की ओर तीर की नोक दाईं ओर
↲	नीचे की ओर तीर की नोक बाईं ओर
↳	नीचे की ओर तीर की नोक दाईं ओर
↴	दाईं ओर वाला तीर कोने से नीचे की ओर
↵	बाईं ओर वाला तीर कोने से नीचे की ओर
↶	वामावर्त शीर्ष अर्धवृत्त तीर
↷	दक्षिणावर्त शीर्ष अर्धवृत्त तीर
↸	लंबे बार के साथ उत्तर पश्चिमी तीर
↹	दाईं ओर तीर बार पर बाईं ओर तीर बार
↺	वामावर्त बायाँ वृत्त तीर
↻	दक्षिणावर्त बायाँ वृत्ताकार तीर
↼	बाईं ओर हार्पून बार्ब ऊपर की ओर
↽	बाईं ओर हार्पून बार्ब नीचे की ओर
↾	ऊपर की ओर हार्पून बार्ब दाईं ओर
↿	ऊपर की ओर हार्पून बार्ब बाईं ओर
⇀	दाईं ओर हार्पून बार्ब ऊपर की ओर
⇁	दाईं ओर हार्पून बार्ब नीचे की ओर
⇂	नीचे की ओर हार्पून बार्ब दाईं ओर
⇃	नीचे की ओर हार्पून बार्ब बाईं ओर
⇄	बाएँ तीर के ऊपर दायाँ तीर
⇅	ऊपर और नीचे की ओर इशारे करते तीर
⇆	दाएं इशारा करते तीर पर बाएं इशारा करता तीर
⇇	बाईं ओर युग्मित तीर
⇈	ऊपर की ओर युग्मित तीर
⇉	दाईं ओर युग्मित तीर
⇊	नीचे की ओर युग्मित तीर
⇋	दाईं ओर वाले हार्पून पर बाईं ओर वाला हार्पून
⇌	बाईं ओर वाले हार्पून पर दाईं ओर वाला हार्पून
⇍	स्ट्रोक वाला बाईं ओर दोहरा तीर
⇎	बायां दायां दोहरा तीर स्ट्रोक
⇏	दाहिनी ओर दोहरा तीर स्ट्रोक
⇐	बाईं ओर दोहरा तीर
⇑	ऊपर की ओर दोहरा तीर
⇒	दाईं ओर दोहरे तीर
⇓	नीचे की ओर दोहरा तीर
⇔	बायां दायां दोहरा तीर
⇖	उत्तर पश्चिम दोहरा तीर
⇗	उत्तर पूर्व दोहरा तीर
⇘	दक्षिण पूर्व दोहरा तीर
⇙	दक्षिण पश्चिम दोहरा तीर
⇚	बाईं ओर तिहरा तीर
⇛	दाहिनी ओर तिहरा तीर
⇜	बाईं ओर घुमावदार तीर
⇝	दाईं ओर घुमावदार तीर
⇞	ऊपर की ओर तीर दोहरा स्ट्रोक
⇟	नीचे की ओर तीर दोहरा स्ट्रोक
⇠	बाईं ओर डैश तीर
⇡	ऊपर की ओर डैश तीर
⇢	दाईं ओर डैश तीर
⇣	नीचे की ओर डैश तीर
⇤	बाईं ओर तीर पट्टी
⇥	दाईं ओर तीर पट्टी
⇦	बाईं ओर खोखला तीर
⇧	ऊपर की ओर खोखला तीर
⇨	दाईं ओर खोखला तीर
⇩	नीचे की ओर खोखला तीर
⇪	पट्टी से ऊपर की ओर खोखला तीर
⇵	नीचे की ओर तीर बाईं ओर ऊपर की ओर तीर
∀	सभी के लिए
∂	आंशिक अंतर
∃	वहाँ मौजूद होता है
∅	रिक्त सेट
∆	संवृद्ध
∇	नाबला
∈	इसका तत्व
∉	कोई तत्व नहीं
∋	सदस्य के रूप में रखता है
∎	अंत प्रमाण
∏	एन-अरी उत्पाद
∑	एन-अरी योग
−	माइनस चिह्न
∓	ऋण-या-धन
∕	विभाजन स्लैश
∗	तारांकन ऑपरेटर
∘	रिंग ऑपरेटर
∙	बुलेट ऑपरेटर
√	वर्गमूल
∝	सानुपातिक
∞	अनंत चिह्न
∟	समकोण
∠	कोण
∣	विभाजन करना
∥	समानांतर
∧	तार्किक and
∩	इंटरसेक्शन
∪	यूनियन
∫	समाकलन
∬	दोहरा समाकलन
∮	समोच्च समाकलन
∴	इसलिए
∵	क्योंकि
∶	अनुपात
∷	समानुपात
∼	लहरिल डैश ऑपरेटर
∽	उलटा लहरिल डैश
∾	उल्टा लेज़ी एस
≃	अनंतस्पर्शी बराबर
≅	लगभग इसके बराबर
≈	लगभग बराबर
≌	सभी बराबर
≒	लगभग छवि के बराबर
≖	बराबर में रिंग
≠	बराबर नहीं
≡	इसके समरूप
≣	पूरीतरह से समतुल्य
≤	इससे छोटा या बराबर
≥	इससे बड़ा या बराबर
≦	बराबर होने पर इससे कम
≧	बराबर होने पर इससे अधिक
≪	की तुलना में बहुत कम
≫	की तुलना में बहुत अधिक
≬	इसके बीच
≮	इससे कम नहीं
≯	इससे अधिक नहीं
≳	इससे अधिक समकक्ष
≺	पहले आता है
≻	बाद में आता है
⊁	बाद में नहीं आता है
⊂	इसका सबसेट
⊃	सुपरसेट
⊆	सबसेट बराबर
⊇	सुपरसेट बराबर
⊕	गोलाकार धन
⊖	गोलाकार ऋण
⊗	गोलाकार समय
⊘	गोलाकार विभाजन स्लैश
⊙	गोलाकार डॉट ऑपरेटर
⊚	गोलाकार रिंग ऑपरेटर
⊛	गोलाकार तारांकन चिह्न ऑपरेटर
⊞	वर्गाकार धन
⊟	वर्गाकार ऋण
⊥	अप टैक
⊮	बल नहीं लगाता
⊰	संबंध के अंतर्गत प्रिसीड
⊱	संबंध के अंतर्गत सक्सीड
⊶	मूल
⊹	हर्मिशियन संयुग्म मैट्रिक्स
⊿	समकोण त्रिभुज
⋁	एन-अरी तार्किक या
⋂	एन-अरी इंटरसेक्शन
⋃	एन-अरी यूनियन
⋅	डॉट ऑपरेटर
⋆	सितारा ऑपरेटर
⋈	नैचुरल ज्वाइन
⋒	दोहरा इंटरसेक्शन
⋘	की तुलना में बहुत ज्यादा कम
⋙	की तुलना में बहुत ज्यादा अधिक
⋭	सामान्य उपसमूह बराबर के रूप में शामिल नहीं है
⋮	अनुलंब दिर्घवृत्त
⋯	मध्‍यरेखा क्षैतिज दिर्घवृत्त
⋰	विकर्ण ऊपर दायाँ दिर्घवृत्त
⋱	विकर्ण नीचे दायाँ दिर्घवृत्त
⌚	घड़ी, समय
⌛	रेतघड़ी, समय
⌨	कीबोर्ड
⏏	निकालें बटन
⏩	फ़ास्ट फ़ॉर्वर्ड, दोहरा दायां तीर
⏪	रीवाइंड, दोहरा बायां तीर, बायां, तीर
⏫	दोहरा ऊपर तीर, ऊपर
⏬	नीचे तीर, दोहरा नीचे तीर
⏭	दोहरा दायां तीर, अगला ट्रैक
⏮	रीवाइंड, दोहरा रीवाइंड तीर, पिछला ट्रैक
⏯	चलाए या रोकें बटन
⏰	अलार्म घड़ी, समय
⏱	स्टॉपवॉच
⏲	टाइमर घड़ी
⏳	बहती रेत के साथ रेतघड़ी, समय
⏸	स्थिर बटन
⏹	रोकें बटन
⏺	रिकॉर्ड बटन
Ⓜ	वित्त के भीतर म
■	भरे हुए वर्गाकार
□	खाली वर्ग
▢	गोल कोनों के साथ खाली वर्ग
▣	गोल कोनों के साथ भरे हुए वर्ग
▤	क्षैतिज भराव के साथ वर्ग
▥	ऊर्ध्वाधर भराव के साथ वर्ग
▦	वर्ग लंब कोणिय क्रॉसहैच भराव
▧	वर्ग ऊपरी बाएँ निचला दायाँ भराव
▨	वर्ग ऊपरी दाएँ निचला बायाँ भराव
▩	वर्ग विकर्ण क्रॉसहैच भराव
▪	काला छोटा वर्ग
▫	सफेद छोटा वर्ग
▬	भरा हुआ समकोण
▭	खाली समकोण
