©	著作権
®	登録商標マーク
‼	二重感嘆符
⁄	分数スラッシュ
⁉	感嘆符疑問符
⁻	上付きマイナス
₡	コスタリカコロン
₢	クルゼイロ
₣	フランスフラン
₤	リラ
₥	ミル
₦	ナイジェリアナイラ
₧	スペインペセタ
₨	ルピー
₪	イスラエル新シェケル
₫	ベトナムドン
€	ユーロ
₭	ラオスキープ
₮	モンゴルトグログ
₰	ドイツペニヒ
₱	ペソ
₲	パラグアイグアラニ
₳	アウストラル
₴	ウクライナフリヴニャ
₵	ガーナセディ
₶	トゥールリーブル
₷	スペスミーロ
₸	カザフスタンテンゲ
₹	インドルピー
₺	トルコリラ
₼	アゼルバイジャンマナト
₽	ルーブル
₾	ジョージアラリ
₿	ビットコイン
℗	原盤権マーク
™	トレードマーク
ℹ	iマーク
←	左向矢印
↑	上向矢印
→	右向矢印
↓	下向矢印
↔	左右矢印
↕	上下矢印
↖	左上矢印
↗	右上矢印
↘	右下矢印
↙	左下矢印
↚	斜線付き左向き矢印
↛	斜線付き右向き矢印
↜	左向き波線矢印
↝	右向き波線矢印
↞	左向き二重鏃矢印
↟	上向き二重鏃矢印
↠	右向き二重鏃矢印
↡	下向き二重鏃矢印
↢	尾付き左向き矢印
↣	尾付き右向き矢印
↤	棒からの左向き矢印
↥	棒からの上向き矢印
↦	棒からの右向き矢印
↧	棒からの下向き矢印
↨	下線付き上下矢印
↩	右カーブ矢印
↪	左カーブ矢印
↫	ループ付き左向き矢印
↬	ループ付き右向き矢印
↭	左右波線矢印
↮	斜線付き左右矢印
↯	下向きジグザグ矢印
↰	上向き左折矢印
↱	上向き右折矢印
↲	下向き左折矢印
↳	下向き右折矢印
↴	右向き下曲がり矢印
↵	下向き左曲がり矢印
↶	反時計回りの上半円矢印
↷	時計回りの上半円矢印
↸	上線付き北西矢印
↹	右縦棒付き右矢印の上に左縦棒付き左矢印
↺	反時計回りの開いた円矢印
↻	時計回りの開いた円矢印
↼	とげが上向きの左向き銛型矢印
↽	とげが下向きの左向き銛型矢印
↾	とげが右向きの上向き銛型矢印
↿	とげが左向きの上向き銛型矢印
⇀	とげが上向きの右向き銛型矢印
⇁	とげが下向きの右向き銛型矢印
⇂	とげが右向きの下向き銛型矢印
⇃	とげが左向きの下向き銛型矢印
⇄	右矢印左矢印
⇅	上向矢印下向矢印
⇆	左向矢印右向矢印
⇇	左向きペア矢印
⇈	上向きペア矢印
⇉	右向きペア矢印
⇊	下向きペア矢印
⇋	左向き銛型矢印右向き銛型矢印
⇌	右向き銛型矢印左向き銛型矢印
⇍	斜線付き左向き二重矢印
⇎	斜線付き二重両矢印
⇏	斜線付き右向き二重矢印
⇐	左向き二重矢印
⇑	上向き二重矢印
⇒	右向き二重矢印
⇓	下向き二重矢印
⇔	二重両矢印
⇖	北西二重矢印
⇗	北東二重矢印
⇘	南東二重矢印
⇙	南西二重矢印
⇚	左向き三重矢印
⇛	右向き三重矢印
⇜	左向きよじれ矢印
⇝	右向きよじれ矢印
⇞	二重線付き上向き矢印
⇟	二重線付き下向き矢印
⇠	左向き破線矢印
⇡	上向き破線矢印
⇢	右向き破線矢印
⇣	下向き破線矢印
⇤	左縦棒付き左矢印
⇥	右縦棒付き右矢印
⇦	左向き白矢印
⇧	上向き白矢印
⇨	右向き白矢印
⇩	下向き白矢印
⇪	棒付き上向き白矢印
⇵	下矢印上矢印
∀	全称記号
∂	偏微分
∃	存在記号
∅	空集合
∆	増分
∇	ナブラ
∈	属する
∉	要素の否定
∋	元として含む
∎	墓石記号
∏	総乗
∑	総和
−	マイナス記号
∓	マイナスプラス記号
∕	除算スラッシュ
∗	アスタリスク演算子
∘	合成写像の記号
∙	ビュレット演算子
√	平方根
∝	比例
∞	無限大記号
∟	直角
∠	角
∣	約数
∥	平行
∧	論理積
∩	積集合
∪	和集合
∫	積分
∬	二重積分
∮	線積分
∴	ゆえに
∵	なぜならば
∶	比
∷	比率
∼	チルダ演算子
∽	相似
∾	逆の横向きS
≃	漸進的に等しい
≅	およそ等しい
≈	ほぼ等しい
≌	すべて等しい
≒	ほとんど等しい
≖	等号の中に丸
≠	等号否定
≡	常に等しい
≣	完全に同等
≤	小なりイコール
≥	大なりイコール
≦	より小さいか又は等しい
≧	より大きいか又は等しい
≪	非常に小さい
≫	非常に大きい
